Data Table for Total Cases - New York City*
Date generated: Mon Sep 27 2021 10:01:22 GMT-0500 (Central Daylight Time)
State,Date,Total Cases
New York City,Jan  5 2021,464492
New York City,Jan  4 2021,460051
New York City,Jan  3 2021,454786
New York City,Jan  2 2021,452671
New York City,Jan  1 2021,448506
New York City,Dec 31 2020,442472
New York City,Dec 30 2020,436254
New York City,Dec 29 2020,429672
New York City,Dec 28 2020,425863
New York City,Dec 27 2020,421513
New York City,Dec 26 2020,419864
New York City,Dec 25 2020,416208
New York City,Dec 24 2020,411429
New York City,Dec 23 2020,406375
New York City,Dec 22 2020,400984
New York City,Dec 21 2020,397919
New York City,Dec 20 2020,394670
New York City,Dec 19 2020,390403
New York City,Dec 18 2020,387703
New York City,Dec 17 2020,384134
New York City,Dec 16 2020,379520
New York City,Dec 15 2020,374861
New York City,Dec 14 2020,371785
New York City,Dec 13 2020,369000
New York City,Dec 12 2020,365129
New York City,Dec 11 2020,361074
New York City,Dec 10 2020,357000
New York City,Dec  9 2020,353027
New York City,Dec  8 2020,348711
New York City,Dec  7 2020,346297
New York City,Dec  6 2020,343764
New York City,Dec  5 2020,340196
New York City,Dec  4 2020,336414
New York City,Dec  3 2020,332583
New York City,Dec  2 2020,328454
New York City,Dec  1 2020,324863
New York City,Nov 30 2020,322509
New York City,Nov 29 2020,320139
New York City,Nov 28 2020,317076
New York City,Nov 27 2020,315890
New York City,Nov 26 2020,312884
New York City,Nov 25 2020,310208
New York City,Nov 24 2020,307314
New York City,Nov 23 2020,305754
New York City,Nov 22 2020,304110
New York City,Nov 21 2020,301833
New York City,Nov 20 2020,299457
New York City,Nov 19 2020,297173
New York City,Nov 18 2020,294897
New York City,Nov 17 2020,292538
New York City,Nov 16 2020,291221
New York City,Nov 15 2020,289767
New York City,Nov 14 2020,287760
New York City,Nov 13 2020,285756
New York City,Nov 12 2020,283748
New York City,Nov 11 2020,281652
New York City,Nov 10 2020,279567
New York City,Nov  9 2020,278408
New York City,Nov  8 2020,277209
New York City,Nov  7 2020,275752
New York City,Nov  6 2020,274216
New York City,Nov  5 2020,272729
New York City,Nov  4 2020,271526
New York City,Nov  3 2020,270244
New York City,Nov  2 2020,269509
New York City,Nov  1 2020,268965
New York City,Oct 31 2020,268091
New York City,Oct 30 2020,267245
New York City,Oct 29 2020,266238
New York City,Oct 28 2020,265267
New York City,Oct 27 2020,264354
New York City,Oct 26 2020,263841
New York City,Oct 25 2020,263321
New York City,Oct 24 2020,262546
New York City,Oct 23 2020,261608
New York City,Oct 22 2020,260789
New York City,Oct 21 2020,260027
New York City,Oct 20 2020,259233
New York City,Oct 19 2020,258705
New York City,Oct 18 2020,258232
New York City,Oct 17 2020,257601
New York City,Oct 16 2020,256868
New York City,Oct 15 2020,256148
New York City,Oct 14 2020,255448
New York City,Oct 13 2020,254864
New York City,Oct 12 2020,254533
New York City,Oct 11 2020,254177
New York City,Oct 10 2020,253561
New York City,Oct  9 2020,252962
New York City,Oct  8 2020,252336
New York City,Oct  7 2020,251694
New York City,Oct  6 2020,250815
New York City,Oct  5 2020,250415
New York City,Oct  4 2020,250096
New York City,Oct  3 2020,249416
New York City,Oct  2 2020,248723
New York City,Oct  1 2020,248056
New York City,Sep 30 2020,247299
New York City,Sep 29 2020,246823
New York City,Sep 28 2020,246393
New York City,Sep 27 2020,246080
New York City,Sep 26 2020,245567
New York City,Sep 25 2020,245018
New York City,Sep 24 2020,244423
New York City,Sep 23 2020,243962
New York City,Sep 22 2020,243396
New York City,Sep 21 2020,243212
New York City,Sep 20 2020,243031
New York City,Sep 19 2020,242709
New York City,Sep 18 2020,242321
New York City,Sep 17 2020,241916
New York City,Sep 16 2020,241529
New York City,Sep 15 2020,241068
New York City,Sep 14 2020,240787
New York City,Sep 13 2020,240560
New York City,Sep 12 2020,240216
New York City,Sep 11 2020,239865
New York City,Sep 10 2020,239481
New York City,Sep  9 2020,239063
New York City,Sep  8 2020,238822
New York City,Sep  7 2020,238591
New York City,Sep  6 2020,238424
New York City,Sep  5 2020,238175
New York City,Sep  4 2020,237873
New York City,Sep  3 2020,237577
New York City,Sep  2 2020,237248
New York City,Sep  1 2020,236917
New York City,Aug 31 2020,236710
New York City,Aug 30 2020,236557
New York City,Aug 29 2020,236260
New York City,Aug 28 2020,235965
New York City,Aug 27 2020,235628
New York City,Aug 26 2020,235326
New York City,Aug 25 2020,235006
New York City,Aug 24 2020,234836
New York City,Aug 23 2020,234679
New York City,Aug 22 2020,234400
New York City,Aug 21 2020,234152
New York City,Aug 20 2020,233856
New York City,Aug 19 2020,233546
New York City,Aug 18 2020,233188
New York City,Aug 17 2020,233029
New York City,Aug 16 2020,232863
New York City,Aug 15 2020,232565
New York City,Aug 14 2020,232254
New York City,Aug 13 2020,231916
New York City,Aug 12 2020,231625
New York City,Aug 11 2020,231283
New York City,Aug 10 2020,231133
New York City,Aug  9 2020,230947
New York City,Aug  8 2020,230667
New York City,Aug  7 2020,230359
New York City,Aug  6 2020,230040
New York City,Aug  5 2020,229834
New York City,Aug  4 2020,229461
New York City,Aug  3 2020,229314
New York City,Aug  2 2020,229113
New York City,Aug  1 2020,228827
New York City,Jul 31 2020,228542
New York City,Jul 30 2020,228230
New York City,Jul 29 2020,227897
New York City,Jul 28 2020,227565
New York City,Jul 27 2020,227408
New York City,Jul 26 2020,227240
New York City,Jul 25 2020,226924
New York City,Jul 24 2020,226602
New York City,Jul 23 2020,226253
New York City,Jul 22 2020,225898
New York City,Jul 21 2020,225466
New York City,Jul 20 2020,225264
New York City,Jul 19 2020,225028
New York City,Jul 18 2020,224592
New York City,Jul 17 2020,224157
New York City,Jul 16 2020,223696
New York City,Jul 15 2020,223278
New York City,Jul 14 2020,222774
New York City,Jul 13 2020,222537
New York City,Jul 12 2020,222261
New York City,Jul 11 2020,221934
New York City,Jul 10 2020,221523
New York City,Jul  9 2020,221070
New York City,Jul  8 2020,220585
New York City,Jul  7 2020,220127
New York City,Jul  6 2020,219963
New York City,Jul  5 2020,219832
New York City,Jul  4 2020,219583
New York City,Jul  3 2020,219153
New York City,Jul  2 2020,218736
New York City,Jul  1 2020,218279
New York City,Jun 30 2020,217823
New York City,Jun 29 2020,217605
New York City,Jun 28 2020,217387
New York City,Jun 27 2020,217054
New York City,Jun 26 2020,216745
New York City,Jun 25 2020,216350
New York City,Jun 24 2020,215955
New York City,Jun 23 2020,215538
