Data Table for Total Cases - New Jersey
Date generated: Mon Sep 27 2021 02:34:08 GMT-0500 (Central Daylight Time)
State,Date,Total Cases
New Jersey,Dec  2 2020,378307
New Jersey,Dec  1 2020,373246
New Jersey,Nov 30 2020,367783
New Jersey,Nov 29 2020,363759
New Jersey,Nov 28 2020,358572
New Jersey,Nov 27 2020,354832
New Jersey,Nov 26 2020,350010
New Jersey,Nov 25 2020,345133
New Jersey,Nov 24 2020,340403
New Jersey,Nov 23 2020,335416
New Jersey,Nov 22 2020,331141
New Jersey,Nov 21 2020,326714
New Jersey,Nov 20 2020,321570
New Jersey,Nov 19 2020,317357
New Jersey,Nov 18 2020,312477
New Jersey,Nov 17 2020,307741
New Jersey,Nov 16 2020,302992
New Jersey,Nov 15 2020,300067
New Jersey,Nov 14 2020,295012
New Jersey,Nov 13 2020,290156
New Jersey,Nov 12 2020,286140
New Jersey,Nov 11 2020,282023
New Jersey,Nov 10 2020,278213
New Jersey,Nov  9 2020,273766
New Jersey,Nov  8 2020,271049
New Jersey,Nov  7 2020,268543
New Jersey,Nov  6 2020,264860
New Jersey,Nov  5 2020,262100
New Jersey,Nov  4 2020,259525
New Jersey,Nov  3 2020,256479
New Jersey,Nov  2 2020,254047
New Jersey,Nov  1 2020,252102
New Jersey,Oct 31 2020,249931
New Jersey,Oct 30 2020,248186
New Jersey,Oct 29 2020,245823
New Jersey,Oct 28 2020,243852
New Jersey,Oct 27 2020,241761
New Jersey,Oct 26 2020,239767
New Jersey,Oct 25 2020,238119
New Jersey,Oct 24 2020,236711
New Jersey,Oct 23 2020,234523
New Jersey,Oct 22 2020,233181
New Jersey,Oct 21 2020,231746
New Jersey,Oct 20 2020,230432
New Jersey,Oct 19 2020,229169
New Jersey,Oct 18 2020,227731
New Jersey,Oct 17 2020,226276
New Jersey,Oct 16 2020,225188
New Jersey,Oct 15 2020,224145
New Jersey,Oct 14 2020,222986
New Jersey,Oct 13 2020,221841
New Jersey,Oct 12 2020,220650
New Jersey,Oct 11 2020,220023
New Jersey,Oct 10 2020,219187
New Jersey,Oct  9 2020,218227
New Jersey,Oct  8 2020,217236
New Jersey,Oct  7 2020,215819
New Jersey,Oct  6 2020,215195
New Jersey,Oct  5 2020,214455
New Jersey,Oct  4 2020,213851
New Jersey,Oct  3 2020,213157
