Data Table for Daily Case Trends - Georgia
Date generated: Mon Sep 27 2021 01:37:11 GMT-0500 (Central Daylight Time)
State,Date,New Cases,7-Day Moving Avg
Georgia,Aug 22 2020,2755,2663
Georgia,Aug 21 2020,3369,2746
Georgia,Aug 20 2020,2939,2742
Georgia,Aug 19 2020,2512,2725
Georgia,Aug 18 2020,3226,2904
Georgia,Aug 17 2020,1957,2979
Georgia,Aug 16 2020,1889,3082
Georgia,Aug 15 2020,3336,3264
Georgia,Aug 14 2020,3340,3419
Georgia,Aug 13 2020,2816,3543
Georgia,Aug 12 2020,3767,3621
Georgia,Aug 11 2020,3754,3639
Georgia,Aug 10 2020,2676,3494
Georgia,Aug  9 2020,3162,3474
Georgia,Aug  8 2020,4422,3474
Georgia,Aug  7 2020,4207,3376
Georgia,Aug  6 2020,3364,3390
Georgia,Aug  5 2020,3888,3507
Georgia,Aug  4 2020,2742,3461
Georgia,Aug  3 2020,2538,3698
Georgia,Aug  2 2020,3162,3775
Georgia,Aug  1 2020,3732,3715
Georgia,Jul 31 2020,4308,3728
Georgia,Jul 30 2020,4183,3830
Georgia,Jul 29 2020,3567,3880
Georgia,Jul 28 2020,4399,3877
Georgia,Jul 27 2020,3077,3781
Georgia,Jul 26 2020,2740,3737
Georgia,Jul 25 2020,3822,3802
Georgia,Jul 24 2020,5023,3933
Georgia,Jul 23 2020,4532,3820
Georgia,Jul 22 2020,3547,3698
Georgia,Jul 21 2020,3732,3777
Georgia,Jul 20 2020,2766,3755
Georgia,Jul 19 2020,3193,3901
Georgia,Jul 18 2020,4743,3812
Georgia,Jul 17 2020,4233,3592
Georgia,Jul 16 2020,3676,3648
Georgia,Jul 15 2020,4102,3528
Georgia,Jul 14 2020,3573,3441
Georgia,Jul 13 2020,3790,3426
Georgia,Jul 12 2020,2571,3119
Georgia,Jul 11 2020,3201,3055
Georgia,Jul 10 2020,4623,2987
Georgia,Jul  9 2020,2838,2728
Georgia,Jul  8 2020,3495,2829
Georgia,Jul  7 2020,3466,2760
Georgia,Jul  6 2020,1642,2547
Georgia,Jul  5 2020,2120,2613
Georgia,Jul  4 2020,2728,2623
Georgia,Jul  3 2020,2811,2512
Georgia,Jul  2 2020,3545,2407
Georgia,Jul  1 2020,3011,2149
Georgia,Jun 30 2020,1976,1981
Georgia,Jun 29 2020,2105,1965
Georgia,Jun 28 2020,2186,1846
Georgia,Jun 27 2020,1952,1660
Georgia,Jun 26 2020,2076,1640
Georgia,Jun 25 2020,1743,1525
Georgia,Jun 24 2020,1835,1422
Georgia,Jun 23 2020,1860,1316
Georgia,Jun 22 2020,1271,1174
Georgia,Jun 21 2020,885,1114
Georgia,Jun 20 2020,1814,1110
Georgia,Jun 19 2020,1267,1000
Georgia,Jun 18 2020,1023,956
Georgia,Jun 17 2020,1094,967
Georgia,Jun 16 2020,870,926
Georgia,Jun 15 2020,851,917
Georgia,Jun 14 2020,852,888
Georgia,Jun 13 2020,1043,841
Georgia,Jun 12 2020,963,775
Georgia,Jun 11 2020,1101,752
Georgia,Jun 10 2020,804,729
Georgia,Jun  9 2020,808,718
Georgia,Jun  8 2020,648,685
Georgia,Jun  7 2020,524,719
Georgia,Jun  6 2020,583,749
Georgia,Jun  5 2020,799,771
Georgia,Jun  4 2020,942,746
Georgia,Jun  3 2020,723,731
Georgia,Jun  2 2020,578,729
Georgia,Jun  1 2020,889,697
Georgia,May 31 2020,729,646
Georgia,May 30 2020,738,645
Georgia,May 29 2020,626,679
Georgia,May 28 2020,838,737
Georgia,May 27 2020,709,716
Georgia,May 26 2020,350,726
Georgia,May 25 2020,532,786
Georgia,May 24 2020,724,805
Georgia,May 23 2020,979,790
Georgia,May 22 2020,1031,731
Georgia,May 21 2020,687,671
Georgia,May 20 2020,780,619
Georgia,May 19 2020,772,588
Georgia,May 18 2020,662,587
Georgia,May 17 2020,623,558
Georgia,May 16 2020,562,594
Georgia,May 15 2020,613,558
Georgia,May 14 2020,326,548
Georgia,May 13 2020,558,619
Georgia,May 12 2020,768,653
Georgia,May 11 2020,459,630
Georgia,May 10 2020,876,672
Georgia,May  9 2020,307,587
Georgia,May  8 2020,544,598
Georgia,May  7 2020,821,654
Georgia,May  6 2020,802,613
Georgia,May  5 2020,602,620
Georgia,May  4 2020,753,618
Georgia,May  3 2020,284,621
Georgia,May  2 2020,381,619
Georgia,May  1 2020,935,662
Georgia,Apr 30 2020,537,626
Georgia,Apr 29 2020,854,682
Georgia,Apr 28 2020,582,688
Georgia,Apr 27 2020,774,693
Georgia,Apr 26 2020,271,703
Georgia,Apr 25 2020,686,736
Georgia,Apr 24 2020,681,688
Georgia,Apr 23 2020,931,721
Georgia,Apr 22 2020,897,729
Georgia,Apr 21 2020,612,699
Georgia,Apr 20 2020,843,732
Georgia,Apr 19 2020,505,767
Georgia,Apr 18 2020,352,717
Georgia,Apr 17 2020,908,727
Georgia,Apr 16 2020,989,730
Georgia,Apr 15 2020,686,677
Georgia,Apr 14 2020,844,740
Georgia,Apr 13 2020,1086,843
Georgia,Apr 12 2020,157,793
Georgia,Apr 11 2020,419,813
Georgia,Apr 10 2020,934,813
Georgia,Apr  9 2020,613,750
Georgia,Apr  8 2020,1130,753
Georgia,Apr  7 2020,1562,673
Georgia,Apr  6 2020,739,594
Georgia,Apr  5 2020,296,544
Georgia,Apr  4 2020,422,537
Georgia,Apr  3 2020,488,509
Georgia,Apr  2 2020,637,514
Georgia,Apr  1 2020,570,466
Georgia,Mar 31 2020,1012,425
Georgia,Mar 30 2020,389,306
Georgia,Mar 29 2020,243,282
Georgia,Mar 28 2020,225,270
Georgia,Mar 27 2020,524,250
Georgia,Mar 26 2020,303,192
Georgia,Mar 25 2020,281,166
Georgia,Mar 24 2020,182,139
Georgia,Mar 23 2020,221,119
Georgia,Mar 22 2020,155,95
Georgia,Mar 21 2020,86,80
Georgia,Mar 20 2020,122,71
Georgia,Mar 19 2020,115,57
Georgia,Mar 18 2020,95,46
Georgia,Mar 17 2020,43,34
Georgia,Mar 16 2020,49,30
Georgia,Mar 15 2020,52,24
Georgia,Mar 14 2020,24,18
Georgia,Mar 13 2020,27,15
Georgia,Mar 12 2020,33,12
Georgia,Mar 11 2020,16,7
Georgia,Mar 10 2020,13,5
Georgia,Mar  9 2020,9,4
Georgia,Mar  8 2020,6,2
Georgia,Mar  7 2020,3,2
Georgia,Mar  6 2020,6,1
Georgia,Mar  5 2020,0,1
Georgia,Mar  4 2020,2,1
Georgia,Mar  3 2020,2,0
Georgia,Mar  2 2020,1,0
Georgia,Mar  1 2020,0,0
Georgia,Feb 29 2020,2,0
Georgia,Feb 28 2020,0,0
Georgia,Feb 27 2020,0,0
Georgia,Feb 26 2020,0,0
Georgia,Feb 25 2020,0,0
Georgia,Feb 24 2020,0,0
Georgia,Feb 23 2020,0,0
Georgia,Feb 22 2020,0,0
Georgia,Feb 21 2020,0,0
Georgia,Feb 20 2020,0,0
Georgia,Feb 19 2020,0,0
Georgia,Feb 18 2020,0,0
Georgia,Feb 17 2020,0,0
Georgia,Feb 16 2020,0,0
Georgia,Feb 15 2020,0,0
Georgia,Feb 14 2020,0,0
Georgia,Feb 13 2020,0,0
Georgia,Feb 12 2020,0,0
Georgia,Feb 11 2020,0,0
Georgia,Feb 10 2020,0,0
Georgia,Feb  9 2020,0,0
Georgia,Feb  8 2020,0,0
Georgia,Feb  7 2020,0,0
Georgia,Feb  6 2020,0,0
Georgia,Feb  5 2020,0,0
Georgia,Feb  4 2020,0,0
Georgia,Feb  3 2020,0,0
Georgia,Feb  2 2020,0,0
Georgia,Feb  1 2020,0,0
Georgia,Jan 31 2020,0,0
Georgia,Jan 30 2020,0,0
Georgia,Jan 29 2020,0,0
Georgia,Jan 28 2020,0,0
Georgia,Jan 27 2020,0,0
Georgia,Jan 26 2020,0,0
Georgia,Jan 25 2020,0,0
Georgia,Jan 24 2020,0,0
Georgia,Jan 23 2020,0,0
