,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_AUC,split1_test_AUC,split2_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,split0_train_AUC,split1_train_AUC,split2_train_AUC,mean_train_AUC,std_train_AUC,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,mean_train_Accuracy,std_train_Accuracy
27,15.870174964269003,4.093712193298288,0.2663269837697347,0.10079244325656342,5,1200,"{'max_depth': 5, 'n_estimators': 1200}",0.8336692348881485,0.8617871629682653,0.8245794559770938,0.8400119512778358,0.01583826386287808,26,1.0,1.0,1.0,1.0,0.0,0.7479564032697548,0.7953615279672579,0.7517053206002728,0.7650077506124285,0.02151785994730393,50,1.0,1.0,1.0,1.0,0.0
24,6.409734487533569,0.7701681665150588,0.08564035097757976,0.02727056705006356,5,600,"{'max_depth': 5, 'n_estimators': 600}",0.8337696335078534,0.8631964328322597,0.8230285134812694,0.8399981932737942,0.016979628064543246,27,1.0,1.0,1.0,1.0,0.0,0.7493188010899182,0.7899045020463847,0.7517053206002728,0.7636428745788586,0.01859531619836329,58,1.0,1.0,1.0,1.0,0.0
45,2.328660806020101,0.16861884399964697,0.023668209711710613,0.003089328383504863,15,50,"{'max_depth': 15, 'n_estimators': 50}",0.8403066991908615,0.8678641732283465,0.8100841088045811,0.8394183270745964,0.023596975300044103,28,1.0,1.0,1.0,1.0,0.0,0.7697547683923706,0.7926330150068213,0.7667121418826739,0.7763666417606219,0.011568940255640817,20,1.0,1.0,1.0,1.0,0.0
21,2.8217925230662027,0.09785897737109495,0.029666662216186523,0.0046426827238895555,5,300,"{'max_depth': 5, 'n_estimators': 300}",0.8307799857210852,0.863233715103794,0.8220181639226916,0.8386772882491903,0.017728620085534556,29,1.0,1.0,1.0,1.0,0.0,0.7534059945504087,0.7885402455661664,0.7530695770804912,0.765005272399022,0.01664230584308495,51,1.0,1.0,1.0,1.0,0.0
20,1.539660930633545,0.0037746970569740588,0.029665788014729817,0.010871246571260602,5,200,"{'max_depth': 5, 'n_estimators': 200}",0.8254700142789148,0.8590543724648055,0.8210786506800286,0.8352010124745829,0.016961880903598098,30,0.9999375521951801,0.9997207494340521,0.9997412278088883,0.9997998431460401,9.773323426638555e-05,0.7547683923705722,0.781718963165075,0.7557980900409277,0.764095148525525,0.012469006941479555,55,0.9938608458390177,0.9931833674164963,0.9925017041581459,0.9931819724712199,0.0005548681444421465
30,0.5190181732177734,0.05731617995113177,0.023332913716634113,0.00903073484658118,8,25,"{'max_depth': 8, 'n_estimators': 25}",0.8308431996668254,0.8648032987353853,0.8097075578620855,0.8351180187547653,0.022694943993033814,31,0.9932286074325937,0.9871777448468962,0.9919836470868582,0.9907966664554494,0.0026089495679619103,0.7588555858310627,0.7899045020463847,0.7462482946793997,0.7650027941856158,0.01834497639378902,52,0.9590723055934516,0.9386503067484663,0.9550102249488752,0.9509109457635977,0.008826761451603958
19,0.770170529683431,0.03500411205915623,0.024667660395304363,0.010338317715677905,5,100,"{'max_depth': 5, 'n_estimators': 100}",0.8176909804854832,0.8540473633977571,0.8102966177523264,0.8273449872118556,0.019121224168227754,32,0.988223462479122,0.9901471091981413,0.9905501608483259,0.9896402441751965,0.001015239032257199,0.7425068119891008,0.7858117326057299,0.7421555252387448,0.7568246899445251,0.02049743613686225,62,0.9406548431105047,0.9475119291070211,0.9604635310156783,0.9495434344110681,0.008213456011587338
44,1.1930452187856038,0.21780487246197253,0.01566759745279948,0.0009456633899016414,15,25,"{'max_depth': 15, 'n_estimators': 25}",0.8229117087101381,0.8568845442615128,0.793929700548795,0.8245753178401486,0.02572811410663795,33,1.0,1.0,1.0,1.0,0.0,0.7656675749318801,0.791268758526603,0.7680763983628922,0.7750042439404584,0.011542715845144682,23,1.0,1.0,1.0,1.0,0.0
18,0.5805049737294515,0.023473453419030964,0.016334931055704754,0.0012482969978496784,5,75,"{'max_depth': 5, 'n_estimators': 75}",0.812384727510709,0.8537975721784776,0.8057108983536149,0.8239643993476005,0.021270459167152596,34,0.978403312157003,0.9801666939711664,0.9813293071607292,0.9799664377629661,0.0012028961169193923,0.7343324250681199,0.772169167803547,0.7421555252387448,0.7495523727034706,0.01630827580338767,64,0.9167803547066848,0.9161554192229039,0.934560327198364,0.9224987003759842,0.008532673175954703
43,0.669997771581014,0.05107432061789534,0.01666990915934245,0.0037683216287170735,15,10,"{'max_depth': 15, 'n_estimators': 10}",0.8185648203236553,0.8317003698401337,0.7960883440706276,0.8154511780781388,0.014704311632460991,35,0.9999776306370795,0.9999078473132371,1.0,0.9999618259834389,3.924597411989131e-05,0.7670299727520435,0.791268758526603,0.7639836289222374,0.7740941200669614,0.012207817368306895,24,0.9986357435197817,0.9938650306748467,0.9993183367416496,0.9972730369787594,0.0024258831522102494
17,0.38466159502665204,0.004025371551825269,0.018666505813598633,0.008056477058636555,5,50,"{'max_depth': 5, 'n_estimators': 50}",0.8018094062351262,0.8438655750417562,0.7976467430207588,0.8144405747658805,0.020875901931581786,36,0.954062649129086,0.9551784224949362,0.9581552335279401,0.9557987683839874,0.0017274130044632222,0.723433242506812,0.7612551159618008,0.7298772169167803,0.7381885251284643,0.016521337941250467,71,0.8697135061391542,0.8670756646216768,0.8970688479890934,0.8779526729166415,0.013560006490123941
66,25.467698574066162,0.5870372433744354,0.16671649614969888,0.005041770300664293,25,600,"{'max_depth': 25, 'n_estimators': 600}",0.8331969895287958,0.8365358804581245,0.7714708601765689,0.8137345767211631,0.029916030822741666,37,1.0,1.0,1.0,1.0,0.0,0.7697547683923706,0.7803547066848567,0.7612551159618008,0.7704548636796761,0.007813074149805619,25,1.0,1.0,1.0,1.0,0.0
65,20.651654720306396,0.2538386086455947,0.14400013287862143,0.003559103638643058,25,500,"{'max_depth': 25, 'n_estimators': 500}",0.8332639219419326,0.8356933011214507,0.7715528811739442,0.8135033680791092,0.029680049241701992,38,1.0,1.0,1.0,1.0,0.0,0.7683923705722071,0.7776261937244202,0.7585266030013642,0.7681817224326638,0.007798797810179101,32,1.0,1.0,1.0,1.0,0.0
64,16.65966208775838,0.22494082221868747,0.12266850471496582,0.00499061789342452,25,400,"{'max_depth': 25, 'n_estimators': 400}",0.8330519693003332,0.8350595025053686,0.7715901634454785,0.81323387841706,0.029457956422310073,39,1.0,1.0,1.0,1.0,0.0,0.7697547683923706,0.7803547066848567,0.7557980900409277,0.7686358550393849,0.010056368813438257,31,1.0,1.0,1.0,1.0,0.0
