,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_AUC,split1_test_AUC,split2_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,split0_train_AUC,split1_train_AUC,split2_train_AUC,mean_train_AUC,std_train_AUC,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,mean_train_Accuracy,std_train_Accuracy
77,2.1285613377889,0.0281364335315182,0.28475014368693036,0.018982659222243643,30,300,"{'max_depth': 30, 'n_estimators': 300}",0.8571476380295099,0.8900023860653781,0.8452040085898352,0.8641180108949077,0.018941369706233172,13,1.0,1.0,1.0,1.0,0.0,0.7806539509536785,0.8158253751705321,0.7762619372442019,0.7909137544561377,0.017706196299025725,20,1.0,1.0,1.0,1.0,0.0
63,2.1812824408213296,0.04085667014617206,0.2810005346934001,0.009093411015271669,25,300,"{'max_depth': 25, 'n_estimators': 300}",0.8571290456925273,0.8897563230732523,0.8454314304461942,0.8641055997373246,0.01875594583689911,14,0.9999999999999999,1.0,1.0,1.0,6.409875621278546e-17,0.782016348773842,0.8171896316507503,0.7789904502046384,0.7927321435430769,0.01733811906254572,13,1.0,1.0,1.0,1.0,0.0
51,3.5521837870279946,0.055376147741181825,0.49776379267374676,0.027478148768591733,15,500,"{'max_depth': 15, 'n_estimators': 500}",0.8564820323655403,0.8928171975662134,0.8408009723216415,0.8633667340844652,0.021786406472728694,15,1.0,0.9999981383295603,0.9999702132729656,0.9999894505341754,1.362401356290485e-05,0.7752043596730245,0.8171896316507503,0.7735334242837654,0.78864247186918,0.02019741328264004,24,0.9986357435197817,0.9986366734832992,0.9986366734832992,0.9986363634954601,4.383890063326695e-07
52,4.201035896937053,0.02102411825312497,0.5780969460805258,0.020590280611296797,15,600,"{'max_depth': 15, 'n_estimators': 600}",0.8566084602570205,0.8927575459317585,0.8403498568360773,0.8632386210082855,0.021902979139500713,16,1.0,0.9999962766591207,0.9999720749434051,0.9999894505341752,1.2380069541669881e-05,0.7779291553133515,0.819918144611187,0.772169167803547,0.7900054892426951,0.021281753960045932,21,0.9993178717598908,0.9986366734832992,0.9986366734832992,0.9988637395754965,0.00032111994714035516
74,0.5281937917073568,0.018615985633763047,0.08323454856872559,0.008868587715689373,30,75,"{'max_depth': 30, 'n_estimators': 75}",0.8590403379343171,0.8904870555953233,0.839969577666428,0.8631656570653562,0.020828947605416724,17,1.0,1.0,1.0,1.0,0.0,0.779291553133515,0.8171896316507503,0.7653478854024557,0.7872763567289071,0.021904481731080845,27,1.0,1.0,0.9993183367416496,0.9997727789138832,0.0003213391416435215
60,0.5161732037862142,0.012512961389386252,0.07675449053446452,0.004207023932462841,25,75,"{'max_depth': 25, 'n_estimators': 75}",0.8588321037601143,0.8903081006919589,0.8401559890240993,0.8630987311587242,0.020695597892712848,18,1.0,1.0,1.0,1.0,0.0,0.779291553133515,0.8171896316507503,0.7653478854024557,0.7872763567289071,0.021904481731080845,27,1.0,1.0,0.9993183367416496,0.9997727789138832,0.0003213391416435215
50,2.756143887837728,0.05199874895392075,0.37450408935546875,0.021193523593756168,15,400,"{'max_depth': 15, 'n_estimators': 400}",0.8564188184198003,0.8922542352660463,0.8406182891911238,0.8630971142923235,0.021602738384809708,19,0.9999999999999999,1.0,0.9999702132729654,0.9999900710909885,1.4041597783641069e-05,0.771117166212534,0.8158253751705321,0.772169167803547,0.786370569728871,0.020832120224010688,30,0.9986357435197817,0.9979550102249489,0.9986366734832992,0.9984091424093432,0.0003211201715714563
49,2.089831749598185,0.04158612655277818,0.2749449412027995,0.006701187438728388,15,300,"{'max_depth': 15, 'n_estimators': 300}",0.8557457758210376,0.8917807504175613,0.841762854927225,0.8630964603886081,0.021070862820958696,20,1.0,0.9999962766591206,0.999962766591207,0.9999863477501091,1.6743538220356923e-05,0.7752043596730245,0.8171896316507503,0.7708049113233287,0.7877329675490344,0.020906300189917147,26,0.9993178717598908,0.9979550102249489,0.9986366734832992,0.9986365184893797,0.0005563859025732625
76,1.4651899337768555,0.04382979827849579,0.20603322982788086,0.0069673244816583916,30,200,"{'max_depth': 30, 'n_estimators': 200}",0.8563444490718706,0.8888317227392031,0.8439177702219041,0.8630313140109926,0.018935881366990235,21,1.0,1.0,1.0,1.0,0.0,0.7806539509536785,0.8117326057298773,0.7844474761255116,0.7922780109363557,0.01384337753205283,15,1.0,1.0,1.0,1.0,0.0
53,5.4977180163065595,0.03183061427391038,0.7569883664449056,0.023418322096352178,15,800,"{'max_depth': 15, 'n_estimators': 800}",0.8563147013326987,0.8926829813886902,0.840066511572417,0.8630213980979353,0.021997849290439336,22,1.0,0.9999962766591207,0.9999720749434052,0.9999894505341754,1.238006954161794e-05,0.7724795640326976,0.819918144611187,0.7735334242837654,0.7886437109758834,0.02211854884878232,23,0.9993178717598908,0.9986366734832992,0.9986366734832992,0.9988637395754965,0.00032111994714035516
