State,Date,New Cases,7-Day Moving Avg,Historic Cases
United States,Sep 16 2020,45000,39161,0
United States,Sep 15 2020,37907,38016,0
United States,Sep 14 2020,35223,36756,0
United States,Sep 13 2020,32081,35247,0
United States,Sep 12 2020,39562,35407,0
United States,Sep 11 2020,44735,35598,0
United States,Sep 10 2020,39625,36466,0
United States,Sep  9 2020,36985,37313,0
United States,Sep  8 2020,29086,38285,0
United States,Sep  7 2020,24656,39860,0
United States,Sep  6 2020,33202,41956,0
United States,Sep  5 2020,40903,42297,0
United States,Sep  4 2020,50808,42170,0
United States,Sep  3 2020,45557,41506,0
United States,Sep  2 2020,43788,41733,1705
United States,Sep  1 2020,40108,42332,0
United States,Aug 31 2020,39331,42464,0
United States,Aug 30 2020,35584,42156,0
United States,Aug 29 2020,40020,42271,0
United States,Aug 28 2020,46156,42499,0
United States,Aug 27 2020,47150,42677,0
United States,Aug 26 2020,47981,42620,0
United States,Aug 25 2020,41028,42599,0
United States,Aug 24 2020,37174,42811,0
United States,Aug 23 2020,36393,43443,0
United States,Aug 22 2020,41616,44071,0
United States,Aug 21 2020,47403,45433,0
United States,Aug 20 2020,46751,46683,0
United States,Aug 19 2020,47832,47490,0
United States,Aug 18 2020,42509,48698,0
United States,Aug 17 2020,41597,51199,0
United States,Aug 16 2020,40791,51688,0
United States,Aug 15 2020,51148,52209,0
United States,Aug 14 2020,56154,52212,0
United States,Aug 13 2020,52405,52960,0
United States,Aug 12 2020,56288,53297,0
United States,Aug 11 2020,60010,53314,0
United States,Aug 10 2020,45020,52346,0
United States,Aug  9 2020,44444,52455,0
United States,Aug  8 2020,51164,53300,0
United States,Aug  7 2020,61391,53881,0
United States,Aug  6 2020,54767,54796,0
United States,Aug  5 2020,56402,56417,0
United States,Aug  4 2020,53234,57787,0
United States,Aug  3 2020,45789,58746,0
United States,Aug  2 2020,50355,59859,0
United States,Aug  1 2020,55234,60794,0
United States,Jul 31 2020,67794,61518,0
United States,Jul 30 2020,66113,62255,0
United States,Jul 29 2020,65994,63345,0
United States,Jul 28 2020,59945,64372,0
United States,Jul 27 2020,53582,65100,0
United States,Jul 26 2020,56901,65994,0
United States,Jul 25 2020,60299,66107,0
United States,Jul 24 2020,72951,67079,0
United States,Jul 23 2020,73745,67690,0
United States,Jul 22 2020,73183,67271,0
United States,Jul 21 2020,65044,67333,0
United States,Jul 20 2020,59839,67472,0
United States,Jul 19 2020,57689,67075,0
United States,Jul 18 2020,67102,67018,0
United States,Jul 17 2020,77231,67074,0
United States,Jul 16 2020,70810,66000,0
United States,Jul 15 2020,73616,65033,0
United States,Jul 14 2020,66022,64160,0
United States,Jul 13 2020,57056,63105,0
United States,Jul 12 2020,57293,62443,0
United States,Jul 11 2020,67496,59931,0
United States,Jul 10 2020,69710,57309,0
United States,Jul  9 2020,64039,55998,0
United States,Jul  8 2020,67506,54867,0
United States,Jul  7 2020,58635,53921,0
United States,Jul  6 2020,52426,52471,0
United States,Jul  5 2020,39711,50562,0
United States,Jul  4 2020,49142,50132,0
United States,Jul  3 2020,60533,49420,0
United States,Jul  2 2020,56120,47508,0
United States,Jul  1 2020,60885,46304,0
United States,Jun 30 2020,48480,43099,0
United States,Jun 29 2020,39066,41740,0
United States,Jun 28 2020,36700,40304,0
United States,Jun 27 2020,44161,38913,0
United States,Jun 26 2020,47150,37399,0
United States,Jun 25 2020,47687,35501,0
United States,Jun 24 2020,38450,32866,0
United States,Jun 23 2020,38970,31139,0
United States,Jun 22 2020,29016,29274,0
United States,Jun 21 2020,26957,28095,0
United States,Jun 20 2020,33568,27050,0
United States,Jun 19 2020,33861,25861,0
United States,Jun 18 2020,29241,25053,0
United States,Jun 17 2020,26363,24178,0
United States,Jun 16 2020,25915,23696,0
United States,Jun 15 2020,20761,22776,0
