,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_AUC,split1_test_AUC,split2_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,split0_train_AUC,split1_train_AUC,split2_train_AUC,mean_train_AUC,std_train_AUC,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,mean_train_Accuracy,std_train_Accuracy
78,5.440906524658203,0.05522642942628645,0.6799989541371664,0.012727898756851347,30,400,"{'max_depth': 30, 'n_estimators': 400}",0.8129796964611724,0.806066205283957,0.7903193535478708,0.8031217517643334,0.009482444837137135,20,0.9999718781521826,0.9999989627065338,0.9999896270653378,0.9999868226413513,1.1233635995593539e-05,0.7378780604896783,0.7244359097455593,0.7258761401824292,0.7293967034725556,0.0060259786793927595,21,0.9983197311569851,0.999279884781565,0.9983197311569851,0.9986397823651784,0.00045262075928086316
77,4.119196494420369,0.01829010535428786,0.49504868189493817,0.014895151241558314,30,300,"{'max_depth': 30, 'n_estimators': 300}",0.8127939034060523,0.8057517938050797,0.7904968438988498,0.8030141803699941,0.009306292178123501,21,0.9999769493050676,0.9999987321968745,0.9999900880846562,0.9999885898621995,8.955709417829516e-06,0.7373979836773884,0.7234757561209794,0.7258761401824292,0.7289166266602657,0.006076760296382638,25,0.9983197311569851,0.999279884781565,0.9983197311569851,0.9986397823651784,0.00045262075928086316
63,4.07883636156718,0.03527618277882629,0.5276670455932617,0.023793820009513203,25,300,"{'max_depth': 25, 'n_estimators': 300}",0.8129806185110737,0.8053756064637836,0.7905415622470187,0.8029659290739586,0.009317822361747847,22,0.9999744137286251,0.9999987321968746,0.9999898575749968,0.9999876678334988,1.0047991519779926e-05,0.7402784445511282,0.7210753720595295,0.7273163706192991,0.7295567290766524,0.007998079052392273,18,0.9983197311569851,0.999279884781565,0.9983197311569851,0.9986397823651784,0.00045262075928086316
76,2.768734931945801,0.017638444091077825,0.35020025571187335,0.008630515881127197,30,200,"{'max_depth': 30, 'n_estimators': 200}",0.8117436885684253,0.8056125676076884,0.7905609248307617,0.8026390603356252,0.008899763255809255,23,0.9999774103189663,0.9999973491389197,0.9999882440073827,0.9999876678217562,8.15017904470102e-06,0.7369179068650984,0.7229956793086894,0.7297167546807489,0.7298767802848456,0.005684851870165347,13,0.9983197311569851,0.999279884781565,0.9983197311569851,0.9986397823651784,0.00045262075928086316
62,2.694685935974121,0.03902313152862936,0.32544668515523273,0.015070834951164121,25,200,"{'max_depth': 25, 'n_estimators': 200}",0.8121360208014458,0.8053092204623785,0.7902672589773236,0.802570833413716,0.009135453232735905,24,0.9999757967703211,0.9999973491389196,0.9999877829880645,0.9999869762991017,8.817188076440375e-06,0.7397983677388382,0.7244359097455593,0.728756601056169,0.7309969595135222,0.0064686775264547166,4,0.9983197311569851,0.999279884781565,0.9983197311569851,0.9986397823651784,0.00045262075928086316
47,2.2177950541178384,0.4371223132711095,0.4031515916188558,0.23433895104277275,15,100,"{'max_depth': 15, 'n_estimators': 100}",0.8102255334058679,0.8062847258719155,0.7908057232109433,0.8024386608295755,0.00838158374987113,25,0.9986962526946264,0.9983372185736384,0.9986699592666383,0.998567810178301,0.00016340583872573127,0.7325972155544888,0.7229956793086894,0.7258761401824292,0.7271563450152024,0.004022981305801449,33,0.9817570811329813,0.9781565050408065,0.9807969275084013,0.9802368378940631,0.0015223473828164951
46,0.9813238779703776,0.01464363122715571,0.17967438697814941,0.07867594672624227,15,75,"{'max_depth': 15, 'n_estimators': 75}",0.8114933520202113,0.8065401275717661,0.7889519863244838,0.8023284886388203,0.009672356442744723,26,0.9984316307168029,0.9981576515491517,0.9986063386007095,0.9983985402888881,0.0001846641092607332,0.7335573691790687,0.7234757561209794,0.7258761401824292,0.7276364218274924,0.00429989721316832,30,0.9803168506961114,0.9759961593855017,0.9793566970715314,0.9785565690510482,0.001852430293293374
61,1.348559300104777,0.03153498471526747,0.17161051432291666,0.007228867706560119,25,100,"{'max_depth': 25, 'n_estimators': 100}",0.8113638040090729,0.8029728020240355,0.7887260895141466,0.8010208985157515,0.009344302180747645,27,0.9999700340965879,0.9999975796485787,0.9999813287176078,0.9999829808209247,1.1305940699386403e-05,0.7407585213634181,0.7244359097455593,0.7215554488718194,0.7289166266602655,0.008455653585292319,27,0.9983197311569851,0.999279884781565,0.9983197311569851,0.9986397823651784,0.00045262075928086316
60,1.001324971516927,0.017248832864149605,0.13100337982177734,0.010803210822658942,25,75,"{'max_depth': 25, 'n_estimators': 75}",0.8114431003005882,0.8034596327010066,0.7876422458384277,0.8008483262800076,0.00989054630107289,28,0.9999559731726793,0.999996657609942,0.99996427100283,0.9999723005951505,1.7552998290351823e-05,0.7373979836773884,0.7220355256841094,0.7244359097455593,0.7279564730356857,0.006747693596514022,29,0.9980796927508402,0.999279884781565,0.9983197311569851,0.9985597695631302,0.0005185422226282268
75,1.3512596289316814,0.02668711122093925,0.17525092760721842,0.0064192497381701545,30,100,"{'max_depth': 30, 'n_estimators': 100}",0.8109341287550483,0.8024075989842943,0.7890856803550913,0.8008091360314781,0.008990920873490134,29,0.9999732611938784,0.9999975796485788,0.9999815592272671,0.9999841333565748,1.0093443945571671e-05,0.7349975996159386,0.7273163706192991,0.7253960633701392,0.7292366778684589,0.00414833778102602,23,0.9983197311569851,0.999279884781565,0.9983197311569851,0.9986397823651784,0.00045262075928086316
