,p2,p3,p4,p5,p6,target_Asian,target_AIAN,target_Black,target_White,target_Other,target_NHPI
14828,0.0799085585127728,0.1028004824306926,0.1028004824306926,0.677,0.0,0,0,0,0,0,0
14829,0.0791134550707063,0.1017776005398415,0.1017776005398415,0.677,0.0,0,0,0,0,0,0
14830,0.0783262630400751,0.1007648964938593,0.1007648964938593,0.677,0.0,1,0,0,0,0,0
14831,0.0775469037010199,0.0997622690214975,0.0997622690214975,0.677,0.0,1,0,0,1,0,0
14832,0.0767752991169575,0.0987696178591734,0.0987696178591734,0.731,0.0,1,0,0,1,0,0
14833,0.0760113721267865,0.0977868437409435,0.0977868437409435,0.731,0.0,1,0,1,1,0,0
14834,0.0752550463371711,0.096813848388577,0.096813848388577,0.731,0.0,1,0,0,1,0,0
14835,0.0745062461149022,0.0958505345017278,0.0958505345017278,0.731,0.0,1,0,0,1,0,0
14836,0.0737648965793335,0.0948968057482045,0.0948968057482045,0.731,0.0,1,0,0,1,0,0
14837,0.0730309235948937,0.093952566754337,0.093952566754337,0.731,0.0,1,0,0,1,0,0
14838,0.0723042537636727,0.0930177230954389,0.0930177230954389,0.731,0.0,1,0,0,1,0,0
14839,0.0715848144180818,0.0920921812863655,0.0920921812863655,0.731,0.0,1,0,0,0,0,0
14840,0.070872533613587,0.0911758487721644,0.0911758487721644,0.731,0.0,0,0,0,0,0,0
14841,0.0701673401215141,0.0902686339188206,0.0902686339188206,0.731,0.0,0,0,0,0,0,0
14842,0.0694691634219263,0.0893704460040929,0.0893704460040929,0.731,0.0,0,0,0,0,0,0
14843,0.068777933696572,0.0884811952084412,0.0884811952084412,0.731,0.0,0,0,0,0,0,0
14844,0.0680935818219024,0.0876007926060448,0.0876007926060448,0.731,0.0,0,0,0,0,0,0
14845,0.0674160393621598,0.08672915015591,0.08672915015591,0.731,0.0,0,0,0,0,0,0
14846,0.0667452385625337,0.0858661806930654,0.0858661806930654,0.731,0.0,0,0,0,1,0,0
14847,0.0660811123423851,0.0850117979198454,0.0850117979198454,0.731,0.0,0,0,0,0,0,0
14848,0.0654235942885384,0.0841659163972608,0.0841659163972608,0.731,0.0,0,0,0,0,0,0
14849,0.0647726186486405,0.0833284515364544,0.0833284515364544,0.731,0.0,0,0,0,0,0,0
14850,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
14851,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
14852,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
14853,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
14854,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
14855,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
14856,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
14857,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
14858,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
